pid,display_pid,alias,image,floral_language,origin,production,category,blooming,color,size,soil,sunlight,watering,fertilization,pruning,max_light_mmol,min_light_mmol,max_light_lux,min_light_lux,max_temp,min_temp,max_env_humid,min_env_humid,max_soil_moist,min_soil_moist,max_soil_ec,min_soil_ec
rhododendron argyrophyllum,Rhododendron argyrophyllum,rhododendron argyrophyllum,http://pkb.resource.huahuacaocao.com/cmhvZG9kZW5kcm9uIGFyZ3lyb3BoeWxsdW0uanBn?imageView2/1/w/%d/h/%d,"Rhododendron argyrophyllum
Floriography: open and bright, pure, happy 
Rhododendron argyrophyllum is beautiful and is called a fame as the ""flower of xi shi â, which was a very pretty lady in ancient China"". It is also Taipei city flower. 
Rhododendron argyrophyllum blossoms clustered, pattern is diverse, and color is gorgeous. Traditional azalea has only 5 petals, and stamen and pistil protrude from the middle of flower, like a smaller version of the lilies. Azalea is often used as interior decoration or courtyard. 
Rhododendron argyrophyllum like mild sunshine, natural flowering is from April to June, with ornamental period up to 3-4 weeks. After flowers die, cut withered flowers and leaves, waiting for the bud spouting again in the coming year.",China,Yunnan,"Ericaceae, Rhododendron","Flowering period April-June, viewing period 3-4 weeks",Flower color pink,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes half shade, avoid strong light, put in places with bright scattered light","Water in the evening during summer, water thoroughly every 4-5 days in spring, reduce watering in winter, keep soil moist in other time","Dilute fertilizers following instructions,  apply 2-3 times monthly in the growing season","Remove withered flowers, old, diseased, and dead leaves timely",4000,1800,25000,2000,32,12,80,30,60,15,2000,350
rhododendron atlanticum,Rhododendron atlanticum,rhododendron atlanticum,http://pkb.resource.huahuacaocao.com/cmhvZG9kZW5kcm9uIGF0bGFudGljdW0uanBn?imageView2/1/w/%d/h/%d,"Rhododendron atlanticum
Floriography: open and bright, pure, happy 
Rhododendron atlanticum is beautiful and is called a fame as the ""flower of xi shi â, which was a very pretty lady in ancient China"". It is also Taipei city flower. 
Rhododendron atlanticum blossoms clustered, pattern is diverse, and color is gorgeous. Traditional azalea has only 5 petals, and stamen and pistil protrude from the middle of flower, like a smaller version of the lilies. Azalea is often used as interior decoration or courtyard. 
Rhododendron atlanticum like mild sunshine, natural flowering is from April to June, with ornamental period up to 3-4 weeks. After flowers die, cut withered flowers and leaves, waiting for the bud spouting again in the coming year.",China,Yunnan,"Ericaceae, Rhododendron","Flowering period April-June, viewing period 3-4 weeks","Flower color mixed color, white, edge peach red","Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes half shade, avoid strong light, put in places with bright scattered light","Water in the evening during summer, water thoroughly every 4-5 days in spring, reduce watering in winter, keep soil moist in other time","Dilute fertilizers following instructions,  apply 2-3 times monthly in the growing season","Remove withered flowers, old, diseased, and dead leaves timely",4000,1800,25000,2000,32,12,80,30,60,15,2000,350
rhododendron austrinum,Rhododendron austrinum,rhododendron austrinum,http://pkb.resource.huahuacaocao.com/cmhvZG9kZW5kcm9uIGF1c3RyaW51bS5qcGc=?imageView2/1/w/%d/h/%d,"Rhododendron austrinum
Floriography: open and bright, pure, happy 
Rhododendron austrinum is beautiful and is called a fame as the ""flower of xi shi â, which was a very pretty lady in ancient China"". It is also Taipei city flower. 
Rhododendron austrinum blossoms clustered, pattern is diverse, and color is gorgeous. Traditional azalea has only 5 petals, and stamen and pistil protrude from the middle of flower, like a smaller version of the lilies. Azalea is often used as interior decoration or courtyard. 
Rhododendron austrinum like mild sunshine, natural flowering is from April to June, with ornamental period up to 3-4 weeks. After flowers die, cut withered flowers and leaves, waiting for the bud spouting again in the coming year.",China,Yunnan,"Ericaceae, Rhododendron","Flowering period April-June, viewing period 3-4 weeks",Flower color light yellow,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes half shade, avoid strong light, put in places with bright scattered light","Water in the evening during summer, water thoroughly every 4-5 days in spring, reduce watering in winter, keep soil moist in other time","Dilute fertilizers following instructions,  apply 2-3 times monthly in the growing season","Remove withered flowers, old, diseased, and dead leaves timely",4000,1800,25000,2000,32,12,80,30,60,15,2000,350
rhododendron brachycarpum,Rhododendron brachycarpum,rhododendron brachycarpum,http://pkb.resource.huahuacaocao.com/cmhvZG9kZW5kcm9uIGJyYWNoeWNhcnB1bS5qcGc=?imageView2/1/w/%d/h/%d,"Rhododendron brachycarpum
Floriography: open and bright, pure, happy 
Rhododendron brachycarpum is beautiful and is called a fame as the ""flower of xi shi â, which was a very pretty lady in ancient China"". It is also Taipei city flower. 
Rhododendron brachycarpum blossoms clustered, pattern is diverse, and color is gorgeous. Traditional azalea has only 5 petals, and stamen and pistil protrude from the middle of flower, like a smaller version of the lilies. Azalea is often used as interior decoration or courtyard. 
Rhododendron brachycarpum like mild sunshine, natural flowering is from April to June, with ornamental period up to 3-4 weeks. After flowers die, cut withered flowers and leaves, waiting for the bud spouting again in the coming year.",China,Yunnan,"Ericaceae, Rhododendron","Flowering period April-June, viewing period 3-4 weeks",Flower color rose red,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes half shade, avoid strong light, put in places with bright scattered light","Water in the evening during summer, water thoroughly every 4-5 days in spring, reduce watering in winter, keep soil moist in other time","Dilute fertilizers following instructions,  apply 2-3 times monthly in the growing season","Remove withered flowers, old, diseased, and dead leaves timely",4000,1800,25000,2000,32,12,80,30,60,15,2000,350
rhododendron bureavii,Rhododendron bureavii,rhododendron bureavii,http://pkb.resource.huahuacaocao.com/cmhvZG9kZW5kcm9uIGJ1cmVhdmlpLmpwZw==?imageView2/1/w/%d/h/%d,"Rhododendron bureavii
Floriography: open and bright, pure, happy 
Rhododendron bureavii is beautiful and is called a fame as the ""flower of xi shi â, which was a very pretty lady in ancient China"". It is also Taipei city flower. 
Rhododendron bureavii blossoms clustered, pattern is diverse, and color is gorgeous. Traditional azalea has only 5 petals, and stamen and pistil protrude from the middle of flower, like a smaller version of the lilies. Azalea is often used as interior decoration or courtyard. 
Rhododendron bureavii like mild sunshine, natural flowering is from April to June, with ornamental period up to 3-4 weeks. After flowers die, cut withered flowers and leaves, waiting for the bud spouting again in the coming year.",China,Yunnan,"Ericaceae, Rhododendron","Flowering period April-June, viewing period 3-4 weeks",Flower color light pink,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes half shade, avoid strong light, put in places with bright scattered light","Water in the evening during summer, water thoroughly every 4-5 days in spring, reduce watering in winter, keep soil moist in other time","Dilute fertilizers following instructions,  apply 2-3 times monthly in the growing season","Remove withered flowers, old, diseased, and dead leaves timely",4000,1800,25000,2000,32,12,80,30,60,15,2000,350
rhododendron calendulaceum,Rhododendron calendulaceum,rhododendron calendulaceum,http://pkb.resource.huahuacaocao.com/cmhvZG9kZW5kcm9uIGNhbGVuZHVsYWNldW0uanBn?imageView2/1/w/%d/h/%d,"Rhododendron calendulaceum
Floriography: open and bright, pure, happy 
Rhododendron calendulaceum is beautiful and is called a fame as the ""flower of xi shi â, which was a very pretty lady in ancient China"". It is also Taipei city flower. 
Rhododendron calendulaceum blossoms clustered, pattern is diverse, and color is gorgeous. Traditional azalea has only 5 petals, and stamen and pistil protrude from the middle of flower, like a smaller version of the lilies. Azalea is often used as interior decoration or courtyard. 
Rhododendron calendulaceum like mild sunshine, natural flowering is from April to June, with ornamental period up to 3-4 weeks. After flowers die, cut withered flowers and leaves, waiting for the bud spouting again in the coming year.",China,Yunnan,"Ericaceae, Rhododendron","Flowering period April-June, viewing period 3-4 weeks",Flower color pink,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes half shade, avoid strong light, put in places with bright scattered light","Water in the evening during summer, water thoroughly every 4-5 days in spring, reduce watering in winter, keep soil moist in other time","Dilute fertilizers following instructions,  apply 2-3 times monthly in the growing season","Remove withered flowers, old, diseased, and dead leaves timely",4000,1800,25000,2000,32,12,80,30,60,15,2000,350
rhododendron canadense,Rhododendron canadense,rhododendron canadense,http://pkb.resource.huahuacaocao.com/cmhvZG9kZW5kcm9uIGNhbmFkZW5zZS5qcGc=?imageView2/1/w/%d/h/%d,"Rhododendron canadense
Floriography: open and bright, pure, happy 
Rhododendron canadense is beautiful and is called a fame as the ""flower of xi shi â, which was a very pretty lady in ancient China"". It is also Taipei city flower. 
Rhododendron canadense blossoms clustered, pattern is diverse, and color is gorgeous. Traditional azalea has only 5 petals, and stamen and pistil protrude from the middle of flower, like a smaller version of the lilies. Azalea is often used as interior decoration or courtyard. 
Rhododendron canadense like mild sunshine, natural flowering is from April to June, with ornamental period up to 3-4 weeks. After flowers die, cut withered flowers and leaves, waiting for the bud spouting again in the coming year.",China,Yunnan,"Ericaceae, Rhododendron","Flowering period April-June, viewing period 3-4 weeks",Flower color pink,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes half shade, avoid strong light, put in places with bright scattered light","Water in the evening during summer, water thoroughly every 4-5 days in spring, reduce watering in winter, keep soil moist in other time","Dilute fertilizers following instructions,  apply 2-3 times monthly in the growing season","Remove withered flowers, old, diseased, and dead leaves timely",4000,1800,25000,2000,32,12,80,30,60,15,2000,350
rhododendron canescens,Rhododendron canescens,rhododendron canescens,http://pkb.resource.huahuacaocao.com/cmhvZG9kZW5kcm9uIGNhbmVzY2Vucy5qcGc=?imageView2/1/w/%d/h/%d,"Rhododendron canescens
Floriography: open and bright, pure, happy 
Rhododendron canescens is beautiful and is called a fame as the ""flower of xi shi â, which was a very pretty lady in ancient China"". It is also Taipei city flower. 
Rhododendron canescens blossoms clustered, pattern is diverse, and color is gorgeous. Traditional azalea has only 5 petals, and stamen and pistil protrude from the middle of flower, like a smaller version of the lilies. Azalea is often used as interior decoration or courtyard. 
Rhododendron canescens like mild sunshine, natural flowering is from April to June, with ornamental period up to 3-4 weeks. After flowers die, cut withered flowers and leaves, waiting for the bud spouting again in the coming year.",China,Yunnan,"Ericaceae, Rhododendron","Flowering period April-June, viewing period 3-4 weeks",Flower color white to pink,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes half shade, avoid strong light, put in places with bright scattered light","Water in the evening during summer, water thoroughly every 4-5 days in spring, reduce watering in winter, keep soil moist in other time","Dilute fertilizers following instructions,  apply 2-3 times monthly in the growing season","Remove withered flowers, old, diseased, and dead leaves timely",4000,1800,25000,2000,32,12,80,30,60,15,2000,350
rhododendron concinnum,Rhododendron concinnum,rhododendron concinnum,http://pkb.resource.huahuacaocao.com/cmhvZG9kZW5kcm9uIGNvbmNpbm51bS5qcGc=?imageView2/1/w/%d/h/%d,"Rhododendron concinnum
Floriography: open and bright, pure, happy 
Rhododendron concinnum is beautiful and is called a fame as the ""flower of xi shi â, which was a very pretty lady in ancient China"". It is also Taipei city flower. 
Rhododendron concinnum blossoms clustered, pattern is diverse, and color is gorgeous. Traditional azalea has only 5 petals, and stamen and pistil protrude from the middle of flower, like a smaller version of the lilies. Azalea is often used as interior decoration or courtyard. 
Rhododendron concinnum like mild sunshine, natural flowering is from April to June, with ornamental period up to 3-4 weeks. After flowers die, cut withered flowers and leaves, waiting for the bud spouting again in the coming year.",China,Yunnan,"Ericaceae, Rhododendron","Flowering period April-June, viewing period 3-4 weeks",Flower color light pink,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes half shade, avoid strong light, put in places with bright scattered light","Water in the evening during summer, water thoroughly every 4-5 days in spring, reduce watering in winter, keep soil moist in other time","Dilute fertilizers following instructions,  apply 2-3 times monthly in the growing season","Remove withered flowers, old, diseased, and dead leaves timely",4000,1800,25000,2000,32,12,80,30,60,15,2000,350
rhododendron decorum,Rhododendron decorum,rhododendron decorum,http://pkb.resource.huahuacaocao.com/cmhvZG9kZW5kcm9uIGRlY29ydW0uanBn?imageView2/1/w/%d/h/%d,"Rhododendron decorum
Floriography: open and bright, pure, happy 
Rhododendron decorum is beautiful and is called a fame as the ""flower of xi shi â, which was a very pretty lady in ancient China"". It is also Taipei city flower. 
Rhododendron decorum blossoms clustered, pattern is diverse, and color is gorgeous. Traditional azalea has only 5 petals, and stamen and pistil protrude from the middle of flower, like a smaller version of the lilies. Azalea is often used as interior decoration or courtyard. 
Rhododendron decorum like mild sunshine, natural flowering is from April to June, with ornamental period up to 3-4 weeks. After flowers die, cut withered flowers and leaves, waiting for the bud spouting again in the coming year.",China,Yunnan,"Ericaceae, Rhododendron","Flowering period April-June, viewing period 3-4 weeks",Flower color white,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes half shade, avoid strong light, put in places with bright scattered light","Water in the evening during summer, water thoroughly every 4-5 days in spring, reduce watering in winter, keep soil moist in other time","Dilute fertilizers following instructions,  apply 2-3 times monthly in the growing season","Remove withered flowers, old, diseased, and dead leaves timely",4000,1800,25000,2000,32,12,80,30,60,15,2000,350
rhododendron degronianum,Rhododendron degronianum,rhododendron degronianum,http://pkb.resource.huahuacaocao.com/cmhvZG9kZW5kcm9uIGRlZ3JvbmlhbnVtLmpwZw==?imageView2/1/w/%d/h/%d,"Rhododendron degronianum
Floriography: delicate, innocent, plain.
The photinia is an evergreen shrub or small tree. Leaves are long round oval, edge slightly toothed, red then turning green after mature. Small delicate flowers bloom clustery with great vitality. It has been widely cultivated for garden uses.
This plant grows well in sunny habitat but it is also shade tolerant. It blooms in April to May for one to two weeks.",Asia,China,"Rosaceae, Photinia","Flowering period April-May, viewing period 2-3 weeks","Leaf color green , flower color pink","Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Like adequate light, but also tolerates shade",Water thoroughly after soil surface dries,"Dilute fertilizers following instructions, apply once monthly in spring","Remove withered flowers, old, diseased, and dead leaves timely",5000,3500,50000,3000,35,5,80,30,60,15,2000,350
rhododendron edgeworthii,Rhododendron edgeworthii,rhododendron edgeworthii,http://pkb.resource.huahuacaocao.com/cmhvZG9kZW5kcm9uIGVkZ2V3b3J0aGlpLmpwZw==?imageView2/1/w/%d/h/%d,"Rhododendron edgeworthii
Floriography: open and bright, pure, happy 
Rhododendron edgeworthii is beautiful and is called a fame as the ""flower of xi shi â, which was a very pretty lady in ancient China"". It is also Taipei city flower. 
Rhododendron edgeworthii blossoms clustered, pattern is diverse, and color is gorgeous. Traditional azalea has only 5 petals, and stamen and pistil protrude from the middle of flower, like a smaller version of the lilies. Azalea is often used as interior decoration or courtyard. 
Rhododendron edgeworthii like mild sunshine, natural flowering is from April to June, with ornamental period up to 3-4 weeks. After flowers die, cut withered flowers and leaves, waiting for the bud spouting again in the coming year.",China,Yunnan,"Ericaceae, Rhododendron","Flowering period April-June, viewing period 3-4 weeks",Flower color white to pink,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes half shade, avoid strong light, put in places with bright scattered light","Water in the evening during summer, water thoroughly every 4-5 days in spring, reduce watering in winter, keep soil moist in other time","Dilute fertilizers following instructions,  apply 2-3 times monthly in the growing season","Remove withered flowers, old, diseased, and dead leaves timely",4000,1800,25000,2000,32,12,80,30,60,15,2000,350
rhododendron ferrugineum,Rhododendron ferrugineum,rhododendron ferrugineum,http://pkb.resource.huahuacaocao.com/cmhvZG9kZW5kcm9uIGZlcnJ1Z2luZXVtLmpwZw==?imageView2/1/w/%d/h/%d,"Rhododendron ferrugineum
Floriography: open and bright, pure, happy 
Rhododendron ferrugineum is beautiful and is called a fame as the ""flower of xi shi â, which was a very pretty lady in ancient China"". It is also Taipei city flower. 
Rhododendron ferrugineum blossoms clustered, pattern is diverse, and color is gorgeous. Traditional azalea has only 5 petals, and stamen and pistil protrude from the middle of flower, like a smaller version of the lilies. Azalea is often used as interior decoration or courtyard. 
Rhododendron ferrugineum like mild sunshine, natural flowering is from April to June, with ornamental period up to 3-4 weeks. After flowers die, cut withered flowers and leaves, waiting for the bud spouting again in the coming year.",China,Yunnan,"Ericaceae, Rhododendron","Flowering period April-June, viewing period 3-4 weeks",Flower color rose red,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes half shade, avoid strong light, put in places with bright scattered light","Water in the evening during summer, water thoroughly every 4-5 days in spring, reduce watering in winter, keep soil moist in other time","Dilute fertilizers following instructions,  apply 2-3 times monthly in the growing season","Remove withered flowers, old, diseased, and dead leaves timely",5400,2200,50000,2500,32,12,80,30,60,15,2000,350
rhododendron flammeum,Rhododendron flammeum,rhododendron flammeum,http://pkb.resource.huahuacaocao.com/cmhvZG9kZW5kcm9uIGZsYW1tZXVtLmpwZw==?imageView2/1/w/%d/h/%d,"Rhododendron flammeum
Floriography: open and bright, pure, happy 
Rhododendron flammeum is beautiful and is called a fame as the ""flower of xi shi â, which was a very pretty lady in ancient China"". It is also Taipei city flower. 
Rhododendron flammeum blossoms clustered, pattern is diverse, and color is gorgeous. Traditional azalea has only 5 petals, and stamen and pistil protrude from the middle of flower, like a smaller version of the lilies. Azalea is often used as interior decoration or courtyard. 
Rhododendron flammeum like mild sunshine, natural flowering is from April to June, with ornamental period up to 3-4 weeks. After flowers die, cut withered flowers and leaves, waiting for the bud spouting again in the coming year.",China,Yunnan,"Ericaceae, Rhododendron","Flowering period April-June, viewing period 3-4 weeks",Flower color orange,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes half shade, avoid strong light, put in places with bright scattered light","Water in the evening during summer, water thoroughly every 4-5 days in spring, reduce watering in winter, keep soil moist in other time","Dilute fertilizers following instructions,  apply 2-3 times monthly in the growing season","Remove withered flowers, old, diseased, and dead leaves timely",4000,1800,25000,2000,32,12,80,30,60,15,2000,350
rhododendron hippophaeoides,Rhododendron hippophaeoides,rhododendron hippophaeoides,http://pkb.resource.huahuacaocao.com/cmhvZG9kZW5kcm9uIGhpcHBvcGhhZW9pZGVzLmpwZw==?imageView2/1/w/%d/h/%d,"Rhododendron hippophaeoides
Floriography: open and bright, pure, happy 
Rhododendron hippophaeoides is beautiful and is called a fame as the ""flower of xi shi â, which was a very pretty lady in ancient China"". It is also Taipei city flower. 
Rhododendron hippophaeoides blossoms clustered, pattern is diverse, and color is gorgeous. Traditional azalea has only 5 petals, and stamen and pistil protrude from the middle of flower, like a smaller version of the lilies. Azalea is often used as interior decoration or courtyard. 
Rhododendron hippophaeoides like mild sunshine, natural flowering is from April to June, with ornamental period up to 3-4 weeks. After flowers die, cut withered flowers and leaves, waiting for the bud spouting again in the coming year.",China,Yunnan,"Ericaceae, Rhododendron","Flowering period April-June, viewing period 3-4 weeks",Flower color rose red,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes half shade, avoid strong light, put in places with bright scattered light","Water in the evening during summer, water thoroughly every 4-5 days in spring, reduce watering in winter, keep soil moist in other time","Dilute fertilizers following instructions,  apply 2-3 times monthly in the growing season","Remove withered flowers, old, diseased, and dead leaves timely",4000,1800,25000,2000,32,12,80,30,60,15,2000,350
rhododendron hirsutum,Rhododendron hirsutum,rhododendron hirsutum,http://pkb.resource.huahuacaocao.com/cmhvZG9kZW5kcm9uIGhpcnN1dHVtLmpwZw==?imageView2/1/w/%d/h/%d,"Rhododendron hirsutum
Floriography: open and bright, pure, happy 
Rhododendron hirsutum is beautiful and is called a fame as the ""flower of xi shi â, which was a very pretty lady in ancient China"". It is also Taipei city flower. 
Rhododendron hirsutum blossoms clustered, pattern is diverse, and color is gorgeous. Traditional azalea has only 5 petals, and stamen and pistil protrude from the middle of flower, like a smaller version of the lilies. Azalea is often used as interior decoration or courtyard. 
Rhododendron hirsutum like mild sunshine, natural flowering is from April to June, with ornamental period up to 3-4 weeks. After flowers die, cut withered flowers and leaves, waiting for the bud spouting again in the coming year.",China,Yunnan,"Ericaceae, Rhododendron","Flowering period April-June, viewing period 3-4 weeks",Flower color peach red,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes half shade, avoid strong light, put in places with bright scattered light","Water in the evening during summer, water thoroughly every 4-5 days in spring, reduce watering in winter, keep soil moist in other time","Dilute fertilizers following instructions,  apply 2-3 times monthly in the growing season","Remove withered flowers, old, diseased, and dead leaves timely",5400,2200,50000,2500,32,12,80,30,60,15,2000,350
rhododendron hunnewellianum,Rhododendron hunnewellianum,rhododendron hunnewellianum,http://pkb.resource.huahuacaocao.com/cmhvZG9kZW5kcm9uIGh1bm5ld2VsbGlhbnVtLmpwZw==?imageView2/1/w/%d/h/%d,"Rhododendron hunnewellianum
Floriography: open and bright, pure, happy 
Rhododendron hunnewellianum is beautiful and is called a fame as the ""flower of xi shi â, which was a very pretty lady in ancient China"". It is also Taipei city flower. 
Rhododendron hunnewellianum blossoms clustered, pattern is diverse, and color is gorgeous. Traditional azalea has only 5 petals, and stamen and pistil protrude from the middle of flower, like a smaller version of the lilies. Azalea is often used as interior decoration or courtyard. 
Rhododendron hunnewellianum like mild sunshine, natural flowering is from April to June, with ornamental period up to 3-4 weeks. After flowers die, cut withered flowers and leaves, waiting for the bud spouting again in the coming year.",China,Yunnan,"Ericaceae, Rhododendron","Flowering period April-June, viewing period 3-4 weeks",Flower color pink,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes half shade, avoid strong light, put in places with bright scattered light","Water in the evening during summer, water thoroughly every 4-5 days in spring, reduce watering in winter, keep soil moist in other time","Dilute fertilizers following instructions,  apply 2-3 times monthly in the growing season","Remove withered flowers, old, diseased, and dead leaves timely",4000,1800,25000,2000,32,12,80,30,60,15,2000,350
rhododendron hybridum hot,Rhododendron hybridum Hot,rhododendron hybridum hot,http://pkb.resource.huahuacaocao.com/cmhvZG9kZW5kcm9uIGh5YnJpZHVtIGhvdC5qcGc=?imageView2/1/w/%d/h/%d,"Rhododendron hybridum Hot
Floriography: open and bright, pure, happy 
Rhododendron hybridum Hot is beautiful and is called a fame as the ""flower of xi shi â, which was a very pretty lady in ancient China"". It is also Taipei city flower. 
Rhododendron hybridum Hot blossoms clustered, pattern is diverse, and color is gorgeous. Traditional azalea has only 5 petals, and stamen and pistil protrude from the middle of flower, like a smaller version of the lilies. Azalea is often used as interior decoration or courtyard. 
Rhododendron hybridum Hot like mild sunshine, natural flowering is from April to June, with ornamental period up to 3-4 weeks. After flowers die, cut withered flowers and leaves, waiting for the bud spouting again in the coming year.",Belgium,China,"Ericaceae, Rhododendron","Flowering period April-June, viewing period 3-4 weeks","Flower color mixed color, white, edge peach red","Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes half shade, avoid strong light, put in places with bright scattered light","Water in the evening during summer, water thoroughly every 4-5 days in spring, reduce watering in winter, keep soil moist in other time","Dilute fertilizers following instructions,  apply 2-3 times monthly in the growing season","Remove withered flowers, old, diseased, and dead leaves timely",4000,1800,25000,2000,32,12,80,30,60,15,2000,350
rhododendron impeditum,Rhododendron impeditum,rhododendron impeditum,http://pkb.resource.huahuacaocao.com/cmhvZG9kZW5kcm9uIGltcGVkaXR1bS5qcGc=?imageView2/1/w/%d/h/%d,"Rhododendron impeditum
Floriography: open and bright, pure, happy 
Rhododendron impeditum is beautiful and is called a fame as the ""flower of xi shi â, which was a very pretty lady in ancient China"". It is also Taipei city flower. 
Rhododendron impeditum blossoms clustered, pattern is diverse, and color is gorgeous. Traditional azalea has only 5 petals, and stamen and pistil protrude from the middle of flower, like a smaller version of the lilies. Azalea is often used as interior decoration or courtyard. 
Rhododendron impeditum like mild sunshine, natural flowering is from April to June, with ornamental period up to 3-4 weeks. After flowers die, cut withered flowers and leaves, waiting for the bud spouting again in the coming year.",China,Yunnan,"Ericaceae, Rhododendron","Flowering period April-June, viewing period 3-4 weeks",Flower color purple,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes half shade, avoid strong light, put in places with bright scattered light","Water in the evening during summer, water thoroughly every 4-5 days in spring, reduce watering in winter, keep soil moist in other time","Dilute fertilizers following instructions,  apply 2-3 times monthly in the growing season","Remove withered flowers, old, diseased, and dead leaves timely",4000,1800,25000,2000,32,12,80,30,60,15,2000,350
rhododendron indicum,Rhododendron indicum,rhododendron indicum,http://pkb.resource.huahuacaocao.com/cmhvZG9kZW5kcm9uIGluZGljdW0uanBn?imageView2/1/w/%d/h/%d,"Rhododendron indicum
Floriography: open and bright, pure, happy 
Rhododendron indicum is beautiful and is called a fame as the ""flower of xi shi â, which was a very pretty lady in ancient China"". It is also Taipei city flower. 
Rhododendron indicum blossoms clustered, pattern is diverse, and color is gorgeous. Traditional azalea has only 5 petals, and stamen and pistil protrude from the middle of flower, like a smaller version of the lilies. Azalea is often used as interior decoration or courtyard. 
Rhododendron indicum like mild sunshine, natural flowering is from April to June, with ornamental period up to 3-4 weeks. After flowers die, cut withered flowers and leaves, waiting for the bud spouting again in the coming year.",China,Yunnan,"Ericaceae, Rhododendron","Flowering period April-June, viewing period 3-4 weeks",Flower color peach red,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes half shade, avoid strong light, put in places with bright scattered light","Water in the evening during summer, water thoroughly every 4-5 days in spring, reduce watering in winter, keep soil moist in other time","Dilute fertilizers following instructions,  apply 2-3 times monthly in the growing season","Remove withered flowers, old, diseased, and dead leaves timely",4000,1800,25000,2000,32,12,80,30,60,15,2000,350
rhododendron insigne,Rhododendron insigne,rhododendron insigne,http://pkb.resource.huahuacaocao.com/cmhvZG9kZW5kcm9uIGluc2lnbmUuanBn?imageView2/1/w/%d/h/%d,"Rhododendron insigne
Floriography: open and bright, pure, happy 
Rhododendron insigne is beautiful and is called a fame as the ""flower of xi shi â, which was a very pretty lady in ancient China"". It is also Taipei city flower. 
Rhododendron insigne blossoms clustered, pattern is diverse, and color is gorgeous. Traditional azalea has only 5 petals, and stamen and pistil protrude from the middle of flower, like a smaller version of the lilies. Azalea is often used as interior decoration or courtyard. 
Rhododendron insigne like mild sunshine, natural flowering is from April to June, with ornamental period up to 3-4 weeks. After flowers die, cut withered flowers and leaves, waiting for the bud spouting again in the coming year.",China,Yunnan,"Ericaceae, Rhododendron","Flowering period April-June, viewing period 3-4 weeks",Flower color pink,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes half shade, avoid strong light, put in places with bright scattered light","Water in the evening during summer, water thoroughly every 4-5 days in spring, reduce watering in winter, keep soil moist in other time","Dilute fertilizers following instructions,  apply 2-3 times monthly in the growing season","Remove withered flowers, old, diseased, and dead leaves timely",4000,1800,25000,2000,32,12,80,30,60,15,2000,350
rhododendron japonicum,Rhododendron japonicum,rhododendron japonicum,http://pkb.resource.huahuacaocao.com/cmhvZG9kZW5kcm9uIGphcG9uaWN1bS5qcGc=?imageView2/1/w/%d/h/%d,"Rhododendron japonicum
Floriography: open and bright, pure, happy 
Rhododendron japonicum is beautiful and is called a fame as the ""flower of xi shi â, which was a very pretty lady in ancient China"". It is also Taipei city flower. 
Rhododendron japonicum blossoms clustered, pattern is diverse, and color is gorgeous. Traditional azalea has only 5 petals, and stamen and pistil protrude from the middle of flower, like a smaller version of the lilies. Azalea is often used as interior decoration or courtyard. 
Rhododendron japonicum like mild sunshine, natural flowering is from April to June, with ornamental period up to 3-4 weeks. After flowers die, cut withered flowers and leaves, waiting for the bud spouting again in the coming year.",China,Yunnan,"Ericaceae, Rhododendron","Flowering period April-June, viewing period 3-4 weeks",Flower color rose red,"Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes half shade, avoid strong light, put in places with bright scattered light","Water in the evening during summer, water thoroughly every 4-5 days in spring, reduce watering in winter, keep soil moist in other time","Dilute fertilizers following instructions,  apply 2-3 times monthly in the growing season","Remove withered flowers, old, diseased, and dead leaves timely",4000,1800,25000,2000,32,12,80,30,60,15,2000,350
